,Age,Location,Phone Brand,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use,Gender_Male,Gender_Other,OS_iOS
2699,44,4,3,8.7,34.6,152.4,37,1.8,2287,5.2,4.2,1548,2,0,1,0
2700,40,3,4,7.7,5.2,36.1,177,3.5,4234,6.9,0.1,1453,1,0,0,0
2701,43,8,7,5.4,18.1,27.6,60,2.6,5378,7.1,3.2,432,1,0,0,0
2702,55,8,9,6.9,29.5,178.9,178,2.2,1451,3.4,2.3,267,2,0,0,0
2703,51,8,5,4.4,45.0,108.1,22,5.9,1270,3.0,4.4,226,3,0,1,0
2704,28,1,2,1.3,41.2,244.3,99,4.3,6569,3.9,2.7,455,0,0,1,0
2705,20,2,0,9.9,29.8,232.8,100,1.4,9617,7.3,4.6,1888,2,0,1,1
2706,58,5,7,11.1,39.1,233.5,173,0.5,4878,6.5,3.1,1458,2,1,0,0
2707,24,8,5,4.8,24.3,171.6,164,1.0,9938,3.9,4.9,465,1,0,1,0
2708,28,2,1,8.6,47.0,237.7,136,1.0,2142,6.6,1.9,1820,2,0,1,0
2709,27,3,8,10.6,33.6,133.2,195,1.4,6178,6.0,0.1,412,4,0,1,0
2710,35,5,3,7.3,30.7,229.3,147,1.0,363,3.5,0.8,271,3,0,0,0
2711,46,2,0,8.0,35.5,239.4,164,6.0,5982,7.9,0.1,870,0,0,1,1
2712,43,4,4,7.3,41.1,62.9,52,3.5,4109,1.1,1.2,238,0,1,0,0
2713,59,3,4,9.8,1.6,32.5,56,4.7,1956,1.6,4.3,411,0,0,1,0
2714,39,8,1,8.7,33.2,137.7,69,4.8,9314,4.4,2.2,1876,4,0,0,0
2715,47,6,8,6.0,15.7,195.8,28,2.2,733,3.7,1.6,1135,1,0,1,0
2716,15,4,1,8.9,42.9,125.9,44,3.7,224,1.5,2.1,449,2,0,1,0
2717,58,6,7,10.0,34.3,185.1,70,3.0,1343,2.5,1.2,1513,2,1,0,0
2718,27,4,0,10.2,2.7,226.8,62,2.4,5168,6.6,2.2,1014,3,0,1,1
2719,47,7,2,1.8,3.8,74.1,44,5.8,813,6.9,2.8,897,0,0,1,0
2720,24,8,7,3.6,47.1,75.2,170,4.3,7442,2.4,5.0,209,3,1,0,0
2721,53,9,5,9.8,20.3,183.0,191,1.5,7817,6.0,3.1,323,3,1,0,0
2722,53,3,5,8.6,26.0,75.5,61,5.9,8203,7.1,0.4,1769,2,1,0,0
2723,25,9,8,5.7,9.1,213.1,168,4.8,2431,1.8,4.0,1972,2,1,0,0
2724,36,2,5,11.2,6.5,22.3,95,2.7,879,2.9,2.5,690,3,0,0,0
2725,53,5,1,8.6,34.2,193.9,187,1.1,7630,6.3,1.5,1056,4,0,0,0
2726,23,3,3,7.3,19.1,180.8,119,2.4,6034,6.8,0.7,1598,2,0,1,0
2727,18,4,4,6.5,39.3,251.1,47,5.6,261,2.0,1.4,989,1,0,1,0
2728,29,1,4,2.6,20.4,112.7,156,2.9,6948,6.0,3.5,1682,2,0,1,0
2729,25,2,2,7.9,4.0,210.2,91,4.8,5148,7.5,1.2,1655,4,0,1,0
2730,35,9,8,4.5,36.9,229.3,178,3.8,3644,6.2,3.0,1481,2,0,0,0
2731,59,9,9,2.9,7.0,267.4,48,2.8,4618,6.6,1.9,759,2,1,0,0
2732,25,2,2,8.0,29.1,24.3,140,2.3,5371,2.5,2.1,1432,2,0,0,0
2733,24,8,7,6.8,13.8,261.4,192,1.4,3050,7.3,2.5,514,2,1,0,0
2734,28,1,8,1.2,19.5,124.0,82,4.0,9884,2.8,1.3,1499,1,0,1,0
2735,58,4,1,11.8,21.0,49.4,72,5.1,7503,7.6,1.7,1078,3,1,0,0
2736,16,6,2,9.5,21.9,48.7,151,1.0,283,6.8,1.7,1393,4,0,1,0
2737,30,5,7,7.6,1.1,135.2,151,1.7,335,2.4,4.4,1100,4,0,1,0
2738,43,2,4,2.6,41.7,214.4,194,2.8,2011,3.6,2.0,342,1,1,0,0
2739,27,8,5,8.7,35.4,48.8,150,5.7,3908,4.7,1.2,1833,1,0,0,0
2740,31,1,3,7.3,37.5,131.1,26,0.9,471,2.2,4.0,1591,4,0,1,0
2741,29,1,3,5.0,36.3,68.3,15,1.3,7213,6.9,2.1,1480,3,0,0,0
2742,51,6,8,8.1,21.6,53.6,137,4.7,2449,3.9,2.3,468,1,0,1,0
2743,55,9,1,6.7,46.4,49.0,112,2.2,7907,2.1,3.9,324,0,1,0,0
2744,30,6,7,1.1,26.9,140.8,92,5.3,1507,5.6,0.2,1776,4,1,0,0
2745,17,3,1,8.1,41.3,148.8,150,0.6,8587,5.8,3.7,1810,3,0,0,0
2746,49,3,7,1.4,12.7,185.8,44,2.7,2383,7.6,1.3,1823,2,1,0,0
2747,48,8,1,9.5,26.7,149.0,111,3.0,1966,3.6,0.3,725,4,1,0,0
2748,60,7,3,8.9,29.7,23.1,170,2.5,1503,4.5,2.6,658,4,0,0,0
2749,39,9,1,11.1,17.7,138.3,159,2.9,2562,5.4,1.2,570,0,1,0,0
2750,39,6,6,10.1,7.4,106.7,185,3.6,8039,5.4,0.9,102,1,0,0,0
2751,31,6,6,7.6,35.7,101.4,23,0.7,8393,7.1,2.4,1599,3,0,1,0
2752,47,0,7,6.6,37.1,107.1,64,3.5,1156,2.7,3.6,434,3,1,0,0
2753,18,3,2,3.9,24.5,185.5,36,5.8,4517,6.2,2.5,1981,3,0,0,0
2754,26,0,8,7.3,35.4,243.2,132,3.8,703,1.7,2.6,1294,3,1,0,0
2755,56,9,7,10.3,27.6,155.3,98,1.5,5373,5.4,4.9,103,2,1,0,0
2756,39,8,4,11.9,29.9,117.3,106,0.7,9625,0.7,2.7,1171,3,1,0,0
2757,56,7,8,4.8,49.0,86.8,68,4.0,7933,1.4,2.2,1539,2,1,0,0
2758,17,1,9,3.2,38.7,204.9,80,5.9,561,0.7,4.6,1077,2,1,0,0
2759,32,9,3,11.9,12.8,5.3,98,5.0,286,8.0,2.6,1346,1,0,1,0
2760,46,9,3,8.3,3.6,109.4,86,2.1,3563,0.8,1.2,1337,4,0,1,0
2761,32,5,3,4.2,20.6,152.6,30,3.6,6750,7.0,1.9,801,2,1,0,0
2762,56,4,5,4.5,17.3,147.8,74,2.3,8337,6.2,3.4,1695,2,0,0,0
2763,23,6,0,9.5,36.4,63.0,140,5.9,3439,7.6,2.7,223,3,0,0,1
2764,49,3,0,2.2,26.8,284.2,151,2.7,1994,7.0,3.8,1734,4,1,0,1
2765,29,1,1,8.4,47.1,99.6,67,2.5,9120,6.5,0.5,1179,4,0,0,0
2766,16,6,9,1.6,37.6,52.8,187,4.2,5714,7.1,4.9,473,4,1,0,0
2767,50,9,5,9.4,43.5,88.3,135,3.9,2700,7.3,2.9,489,1,0,0,0
2768,15,5,3,8.0,25.8,225.8,98,5.2,7607,7.6,3.8,533,3,1,0,0
2769,45,5,0,1.8,22.8,97.8,102,5.1,2883,6.9,1.5,533,4,0,0,1
2770,34,9,3,6.9,17.0,232.5,162,4.8,6197,7.4,0.7,1320,1,1,0,0
2771,30,0,1,4.9,29.4,7.9,23,5.7,3574,4.8,2.6,485,3,0,0,0
2772,55,1,7,11.3,9.6,55.5,194,5.9,9915,1.9,0.7,1281,4,0,1,0
2773,18,6,3,3.5,38.5,174.7,70,4.6,2569,4.7,3.5,607,4,0,0,0
2774,15,8,6,11.8,49.9,11.8,156,5.2,4494,7.0,2.6,1900,0,0,1,0
2775,25,3,8,10.6,32.6,113.3,79,2.1,2049,4.6,1.6,190,3,1,0,0
2776,40,1,5,10.1,11.2,131.0,190,0.9,8643,2.8,0.6,1623,4,0,1,0
2777,29,6,5,9.5,33.6,279.9,103,4.9,4535,4.3,0.8,1991,2,0,1,0
2778,23,5,4,9.6,39.0,184.9,162,4.5,6168,5.9,3.8,1681,1,1,0,0
2779,46,0,0,11.1,14.5,186.5,85,5.1,573,3.5,0.3,935,1,0,0,1
2780,47,2,2,10.5,41.4,214.1,85,2.0,2576,1.5,4.2,204,1,1,0,0
2781,43,1,3,9.8,38.4,95.1,163,3.2,8765,6.2,4.9,1364,1,0,1,0
2782,18,5,5,5.5,26.0,81.3,55,2.7,4796,3.6,2.4,199,2,0,1,0
2783,35,5,9,3.2,8.7,106.1,156,4.8,2663,7.5,0.9,1216,4,0,1,0
2784,46,6,0,1.6,25.9,19.1,163,4.7,9518,6.0,1.1,1621,3,1,0,1
2785,46,2,5,9.4,10.2,194.7,102,2.0,829,6.3,1.7,1747,3,0,1,0
2786,47,7,3,1.2,30.5,200.3,104,3.4,1968,1.9,3.9,461,2,0,1,0
2787,28,5,9,2.1,45.9,212.5,75,5.5,8414,6.6,3.4,387,2,1,0,0
2788,55,4,6,9.5,24.1,216.8,125,5.1,4776,3.3,3.3,167,3,0,0,0
2789,59,9,3,10.9,24.2,269.6,15,1.9,8923,6.2,4.5,447,2,0,1,0
2790,22,3,4,4.5,28.2,211.6,197,4.6,8282,6.6,4.9,1043,4,0,0,0
2791,31,0,5,2.1,26.9,230.8,124,3.8,7919,2.0,2.1,850,1,0,1,0
2792,37,4,8,11.4,36.4,191.3,54,2.3,7677,5.9,2.7,1498,1,0,0,0
2793,26,2,6,1.1,42.5,172.3,49,5.8,4881,1.6,3.7,205,1,0,1,0
2794,50,5,1,8.6,12.7,158.1,123,0.7,1217,1.1,0.6,914,4,0,1,0
2795,35,2,5,3.2,4.0,120.1,190,2.0,6789,5.2,2.5,1035,0,0,0,0
2796,24,0,8,6.1,38.6,288.4,100,3.1,3110,5.2,2.0,421,3,1,0,0
2797,31,4,0,4.0,6.0,22.2,86,5.8,7520,6.6,3.2,531,1,0,0,1
2798,40,9,0,2.8,2.7,69.0,34,3.3,7909,5.0,0.5,481,2,0,1,1
2799,50,0,5,6.3,1.6,264.9,61,4.0,2295,1.2,3.5,1780,0,0,1,0
2800,55,2,9,6.8,39.9,86.9,48,2.9,8433,5.2,1.6,1573,0,0,1,0
2801,40,3,7,9.8,27.6,208.9,92,0.9,3450,2.7,3.1,724,3,0,1,0
2802,27,9,6,10.2,36.4,57.3,39,4.7,6550,6.2,4.3,1437,4,1,0,0
2803,29,8,1,3.2,49.3,143.5,180,4.8,3287,3.8,3.7,1122,1,1,0,0
2804,38,7,9,5.6,34.8,75.3,111,2.5,2359,0.9,2.8,628,0,0,0,0
2805,23,7,0,4.0,34.6,116.5,89,3.1,6186,0.9,3.8,221,3,1,0,1
2806,47,8,7,3.5,27.3,227.3,52,3.5,9831,7.2,4.3,191,0,0,0,0
2807,24,4,3,5.1,11.8,93.5,168,1.0,3195,1.2,2.4,1515,0,1,0,0
2808,37,7,3,4.2,43.5,281.4,193,4.4,4132,0.7,2.2,1015,4,1,0,0
2809,22,6,7,4.9,27.6,246.6,14,3.4,6363,1.7,3.3,117,0,0,1,0
2810,48,2,1,6.4,34.5,44.5,162,4.2,8670,2.3,4.3,1471,4,0,0,0
2811,33,3,0,10.7,17.7,181.9,70,1.0,2801,3.5,4.1,1381,4,0,0,1
2812,29,7,2,4.3,15.0,107.4,137,3.8,874,5.0,3.4,848,4,1,0,0
2813,46,9,3,6.4,42.2,44.2,171,3.0,233,1.7,0.5,292,0,0,0,0
2814,16,9,6,4.3,46.2,115.0,50,5.9,4193,7.0,2.0,1423,0,0,1,0
2815,32,5,9,6.6,11.9,153.9,153,1.4,1071,4.6,1.3,1001,3,0,0,0
2816,40,2,9,2.2,22.8,11.7,19,4.9,3762,3.4,4.5,311,2,1,0,0
2817,51,8,8,1.7,33.5,108.7,147,5.7,6384,6.4,0.2,1481,1,0,1,0
2818,54,3,6,1.6,32.4,215.9,139,2.0,7692,1.6,2.4,1736,1,0,1,0
2819,30,8,1,2.3,46.1,160.7,149,5.9,6518,5.1,2.4,753,0,0,1,0
2820,40,7,4,8.6,6.1,204.2,75,1.2,3325,7.6,4.0,1525,0,0,1,0
2821,33,2,0,8.6,22.3,277.0,43,5.4,9857,3.9,0.2,831,1,0,1,1
2822,39,4,1,5.6,2.1,210.3,26,4.6,4419,7.3,4.3,854,0,1,0,0
2823,56,3,8,1.1,41.1,230.1,116,0.7,4068,5.0,3.0,1368,3,0,1,0
2824,55,6,1,8.8,37.8,97.8,113,3.3,2196,3.5,3.4,1668,4,0,1,0
2825,60,4,7,1.0,10.1,141.4,159,0.8,5463,5.8,4.3,122,0,0,0,0
2826,38,5,4,11.8,14.5,29.7,164,3.8,8232,7.1,1.1,703,0,0,1,0
2827,36,8,9,10.8,47.6,254.8,39,1.0,4651,6.1,3.0,1195,4,0,0,0
2828,29,8,9,1.5,38.6,209.6,190,4.7,7902,1.6,4.9,655,1,0,1,0
2829,56,4,9,3.4,36.5,128.7,18,0.9,3627,2.8,0.3,1902,0,0,1,0
2830,32,2,8,7.9,44.8,41.7,113,5.0,7051,3.4,1.2,1668,3,0,1,0
2831,36,8,6,11.5,37.3,24.4,199,2.2,3392,0.6,2.2,1281,0,0,0,0
2832,44,7,2,9.6,5.9,72.0,75,1.2,9373,3.1,4.4,1862,1,0,1,0
2833,45,7,9,9.8,11.5,273.7,48,4.5,2664,1.2,1.9,1800,4,0,0,0
2834,38,1,9,5.4,42.2,265.6,69,1.2,8349,1.6,3.6,387,0,0,1,0
2835,50,8,7,11.0,8.2,192.0,149,5.7,9798,7.9,3.4,1039,1,1,0,0
2836,43,5,0,10.7,40.2,88.3,196,5.4,5615,5.4,2.2,1757,2,0,1,1
2837,54,4,4,8.1,25.6,244.3,98,1.7,2268,4.0,3.4,727,1,0,1,0
2838,29,3,5,6.0,21.2,8.2,152,5.2,5173,1.7,0.4,1139,0,0,1,0
2839,51,9,5,2.7,41.6,156.6,23,2.2,2259,1.7,3.1,524,3,1,0,0
2840,42,1,6,5.3,22.1,254.3,40,1.1,8143,2.4,3.4,831,4,0,0,0
2841,59,8,1,2.7,10.4,111.4,155,3.2,8451,4.1,1.7,1416,4,0,1,0
2842,43,6,2,2.0,44.1,89.6,160,0.7,1131,7.0,4.9,1833,1,1,0,0
2843,35,6,1,3.9,24.5,65.9,91,5.7,6418,1.4,1.2,1774,0,1,0,0
2844,53,1,5,11.1,20.8,159.9,119,4.4,868,5.3,0.9,137,4,0,0,0
2845,44,6,1,5.9,41.0,227.4,113,3.4,2188,7.7,3.1,1014,0,0,1,0
2846,36,7,3,9.1,15.8,159.7,63,5.0,3249,1.8,1.5,224,1,0,0,0
2847,39,1,0,9.1,37.3,81.0,85,4.9,6716,6.1,1.3,443,1,1,0,1
2848,60,4,7,6.9,3.9,64.5,83,4.3,2957,2.8,1.9,511,2,0,0,0
2849,18,6,6,1.2,32.5,251.1,66,4.8,5772,7.8,2.7,1183,2,0,1,0
2850,51,6,3,9.3,28.4,287.1,73,1.4,3935,6.8,4.9,740,0,1,0,0
2851,30,0,6,10.5,1.2,95.4,98,4.3,9025,4.9,1.0,506,4,0,1,0
2852,45,9,1,6.1,43.0,210.6,127,1.7,4135,5.7,3.5,1487,2,0,1,0
2853,51,4,3,1.3,23.1,94.8,71,1.1,4387,1.0,1.4,559,1,0,1,0
2854,23,4,5,11.1,3.9,191.3,150,5.9,1464,3.4,3.0,1623,0,0,0,0
2855,36,6,1,3.8,34.7,45.1,35,3.8,9189,5.6,3.6,1132,3,0,0,0
2856,51,7,6,10.4,43.3,205.6,70,1.9,7559,1.2,0.8,1540,2,0,0,0
2857,33,5,9,11.8,33.7,109.2,142,3.2,5880,6.3,4.6,1558,2,0,0,0
2858,47,8,2,4.9,40.4,256.2,139,0.7,2149,1.2,1.9,185,1,0,0,0
2859,45,7,1,12.0,20.9,190.5,122,5.3,2863,0.6,4.8,1854,1,0,0,0
2860,38,8,4,3.6,22.3,64.6,30,5.1,8872,5.9,3.1,1565,1,1,0,0
2861,32,2,8,10.6,38.3,48.0,65,2.9,3086,3.9,1.6,1634,2,0,1,0
2862,27,5,8,3.8,44.0,165.3,133,3.8,3047,6.6,4.7,836,1,1,0,0
2863,31,2,6,9.4,41.2,39.9,171,3.5,9826,2.8,0.4,1438,1,0,1,0
2864,21,8,4,10.6,30.0,252.8,60,2.6,7600,7.5,1.3,1974,2,0,0,0
2865,39,4,4,8.8,17.1,49.6,120,3.9,6042,2.2,2.2,1949,1,0,1,0
2866,49,4,0,3.4,1.3,204.3,55,4.6,3360,1.4,1.2,699,1,1,0,1
2867,21,7,4,5.1,45.2,270.1,138,2.0,6032,6.6,3.6,471,3,0,1,0
2868,20,5,5,9.2,28.3,208.9,118,0.7,1074,1.4,2.7,338,0,0,1,0
2869,32,2,3,6.3,43.7,225.9,102,4.7,2202,3.2,2.0,1005,2,0,0,0
2870,57,1,1,1.7,38.1,268.0,82,1.5,6821,5.5,3.5,992,0,0,0,0
2871,47,6,5,6.6,37.1,133.7,70,1.1,3647,7.9,1.5,637,0,0,0,0
2872,48,3,2,4.1,18.4,71.9,114,3.7,4075,7.6,4.4,1492,2,0,1,0
2873,49,2,5,5.4,16.3,65.0,29,5.6,8366,1.3,4.8,1883,2,1,0,0
2874,27,1,0,3.6,16.6,121.9,15,2.1,3157,1.7,3.9,336,0,1,0,1
2875,24,6,3,8.9,1.2,18.7,28,2.0,8831,6.3,4.4,1524,3,0,1,0
2876,45,6,6,8.5,25.6,278.5,154,4.4,127,3.2,1.0,1132,1,0,0,0
2877,21,6,3,3.1,11.3,261.1,153,3.9,226,7.1,4.9,1604,0,0,0,0
2878,34,8,5,11.6,31.7,124.0,44,5.6,8268,3.3,3.1,659,3,0,0,0
2879,29,5,5,1.8,30.8,221.4,140,3.9,3532,0.6,2.1,149,0,0,0,0
2880,49,0,5,9.5,44.6,174.5,99,2.9,1152,2.2,0.1,743,4,1,0,0
2881,51,0,9,10.4,7.4,156.2,56,4.8,5812,0.6,0.7,1194,2,0,0,0
2882,49,2,1,8.3,26.2,148.8,127,0.5,5564,3.3,3.4,1732,1,0,0,0
2883,45,4,5,8.1,22.0,49.2,150,4.6,2184,4.3,2.9,1366,3,1,0,0
2884,36,5,7,3.7,40.5,143.0,150,5.4,798,3.7,2.5,1783,2,0,1,0
2885,45,9,6,9.2,10.1,165.7,193,3.3,2834,2.4,1.8,1038,4,1,0,0
2886,31,6,7,3.0,2.3,141.1,102,1.7,7543,1.2,0.7,1029,2,0,0,0
2887,44,0,3,3.0,12.8,292.9,27,3.9,5207,6.4,2.6,638,3,1,0,0
2888,52,5,0,10.3,20.8,42.9,84,4.3,2785,0.9,0.3,942,2,1,0,1
2889,35,6,1,6.1,23.2,55.0,59,2.1,8715,5.1,1.2,1617,2,0,1,0
2890,19,0,0,8.0,22.8,268.9,127,1.7,4671,7.2,2.4,1283,3,0,0,1
2891,37,0,7,5.6,11.4,157.5,63,3.2,1887,3.2,5.0,924,1,0,0,0
2892,34,0,3,11.4,47.4,108.6,113,5.7,1447,6.3,3.8,1243,4,0,1,0
2893,42,3,7,1.7,17.9,287.4,138,0.6,787,5.7,0.5,206,0,0,0,0
2894,27,2,6,8.9,3.5,114.4,30,1.9,5221,0.9,3.9,970,4,1,0,0
2895,33,7,0,3.1,43.8,238.3,50,5.9,7708,7.1,3.6,1545,4,1,0,1
2896,36,0,6,11.1,31.1,261.4,164,4.4,3098,1.9,5.0,1888,0,1,0,0
2897,20,5,9,4.7,38.8,155.6,162,0.6,241,3.3,4.3,1489,3,0,1,0
2898,39,1,6,7.4,30.9,205.5,148,5.2,3442,1.9,1.4,1764,2,1,0,0
2899,38,9,7,7.2,44.3,16.5,110,4.6,1911,3.7,1.3,934,0,0,1,0
2900,51,7,9,1.0,36.2,18.7,181,2.0,2771,2.9,1.5,235,2,0,0,0
2901,34,1,9,11.8,39.0,18.5,150,3.7,3748,3.6,1.9,387,2,1,0,0
2902,19,1,0,3.4,31.4,60.7,147,5.6,2860,5.7,0.8,359,3,0,0,1
2903,19,5,4,4.3,43.8,125.4,152,1.5,4580,0.9,0.9,1287,1,0,1,0
2904,26,6,3,9.2,5.1,120.3,85,4.2,5799,4.0,3.6,570,4,1,0,0
2905,41,0,6,3.8,12.5,196.3,176,4.1,8590,1.8,0.0,412,0,0,0,0
2906,16,9,3,5.0,13.9,53.4,176,2.7,9375,3.6,3.3,1481,3,1,0,0
2907,45,0,4,11.2,29.5,224.6,10,2.8,724,7.0,1.0,1594,2,0,1,0
2908,55,8,5,6.2,36.3,267.0,162,2.0,9160,1.1,0.2,229,1,0,0,0
2909,16,2,6,3.0,3.4,112.8,12,4.3,2467,1.8,0.7,405,1,0,0,0
2910,15,0,6,8.4,8.1,42.5,43,1.2,5060,1.5,3.3,861,4,0,0,0
2911,20,0,2,10.3,26.7,210.1,62,2.9,9114,7.7,2.6,525,1,0,1,0
2912,26,2,9,1.6,39.1,59.0,180,0.7,5460,4.5,3.4,1763,1,1,0,0
2913,56,6,6,3.7,20.6,69.5,72,4.4,1368,6.5,3.1,1591,3,1,0,0
2914,37,7,1,11.6,18.9,155.4,76,1.6,5070,7.8,1.0,122,2,0,1,0
2915,52,2,6,8.9,17.6,52.8,111,1.1,1871,7.2,1.9,1430,2,1,0,0
2916,22,4,4,5.1,20.7,53.3,129,1.6,3021,1.5,4.9,747,2,0,0,0
2917,24,7,7,1.5,32.2,90.0,179,5.4,4334,2.7,3.8,860,3,0,0,0
2918,48,8,9,5.5,49.0,252.3,200,2.4,6742,7.4,2.7,831,0,0,1,0
2919,29,8,4,8.4,36.9,38.7,57,2.0,2213,6.8,3.6,1612,0,1,0,0
2920,35,6,9,8.0,9.8,13.8,34,2.6,8513,2.5,3.8,149,0,0,0,0
2921,52,6,9,8.6,46.9,120.6,153,1.0,7351,2.4,2.0,1682,1,0,1,0
2922,37,7,6,4.3,15.8,31.1,42,2.5,4689,1.4,2.3,656,1,0,0,0
2923,60,7,3,7.3,28.7,78.6,52,1.9,6252,6.6,0.7,755,2,1,0,0
2924,46,2,8,5.6,15.9,277.9,84,3.0,3035,6.6,2.1,1825,2,1,0,0
2925,42,3,6,1.2,20.3,279.9,177,5.0,5897,7.7,1.0,326,2,0,1,0
2926,35,1,3,9.3,15.0,226.3,32,3.9,966,2.9,2.5,1299,2,1,0,0
2927,20,8,3,7.7,31.8,38.1,136,2.8,940,5.8,3.8,1483,2,0,0,0
2928,50,2,3,8.9,36.7,255.5,88,3.4,5112,6.9,4.6,653,4,0,0,0
2929,32,9,3,11.4,19.5,82.7,188,3.3,1143,3.1,1.6,1741,3,0,0,0
2930,30,5,6,10.7,17.2,151.2,113,5.8,9097,4.4,3.4,1475,1,0,1,0
2931,15,9,6,1.8,15.6,178.1,84,3.0,4030,3.5,3.3,256,0,1,0,0
2932,25,2,8,9.3,17.5,47.8,18,5.0,688,2.7,1.9,315,1,0,0,0
2933,37,8,4,2.6,10.0,84.0,88,0.8,4870,6.7,3.3,1567,0,0,0,0
2934,51,5,4,8.3,27.2,218.7,136,4.3,6890,5.1,0.3,289,1,0,0,0
2935,35,8,7,2.1,6.2,252.9,20,2.8,3675,2.5,2.2,831,0,0,1,0
2936,40,6,6,3.0,26.9,267.7,99,1.0,3318,5.8,2.0,1970,3,0,0,0
2937,42,1,1,10.3,48.9,90.5,78,1.0,2561,0.9,1.4,179,1,0,1,0
2938,25,4,4,8.2,44.1,73.5,130,1.4,9618,2.9,0.2,453,1,1,0,0
2939,52,0,0,9.2,29.4,70.8,174,5.5,5250,1.7,1.6,1108,2,0,0,1
2940,35,8,5,10.4,34.4,75.8,149,4.4,1610,2.2,2.0,1962,3,1,0,0
2941,30,2,5,1.8,30.1,7.7,189,2.6,853,3.7,3.8,619,3,0,0,0
2942,32,4,0,1.9,22.4,163.2,47,5.3,3500,3.4,2.8,772,1,0,1,1
2943,37,7,2,10.8,7.2,223.7,193,1.2,446,6.8,4.0,1237,1,0,1,0
2944,27,4,4,11.4,14.3,173.7,95,5.7,2098,4.8,4.4,957,2,0,1,0
2945,42,1,4,2.8,33.7,207.0,24,4.2,6770,5.2,0.8,1026,1,0,0,0
2946,27,7,9,11.0,1.8,42.5,171,2.7,7572,1.5,1.9,1802,2,0,1,0
2947,54,4,7,1.1,40.0,289.4,75,4.2,1410,1.1,2.5,944,4,0,0,0
2948,52,8,4,9.3,34.3,19.9,116,3.2,7422,2.8,0.8,1427,3,1,0,0
2949,28,2,6,7.8,14.7,121.7,149,1.1,8351,7.8,0.6,1936,3,1,0,0
2950,22,9,2,8.1,12.0,276.9,137,5.0,9475,5.5,2.6,967,2,0,0,0
2951,21,7,3,1.9,10.5,220.8,83,1.4,6514,5.4,1.0,1558,3,1,0,0
2952,30,3,7,2.1,23.4,188.5,148,3.0,7081,4.4,0.2,1481,3,1,0,0
2953,33,2,3,10.1,30.9,184.3,144,0.9,4382,3.4,1.3,1966,0,0,0,0
2954,41,5,3,2.3,24.8,88.5,193,4.2,9226,3.5,3.7,142,2,0,1,0
2955,54,0,1,10.8,31.0,106.4,25,4.3,2520,4.0,4.5,1198,3,0,0,0
2956,32,3,2,11.1,41.3,126.4,122,2.4,1876,1.2,0.5,1980,4,0,0,0
2957,54,4,0,1.4,29.7,205.1,167,1.6,9991,1.6,4.4,267,2,1,0,1
2958,41,7,9,1.1,23.5,179.1,57,4.9,9825,6.6,0.9,1836,4,0,1,0
2959,43,0,5,7.4,16.9,204.3,47,0.9,9706,7.5,0.1,1494,3,0,0,0
2960,36,1,0,3.8,4.1,104.7,62,5.1,242,3.9,3.9,1041,3,0,1,1
2961,20,3,0,2.3,22.7,288.6,180,1.7,6400,1.0,1.9,1560,1,0,0,1
2962,57,5,9,8.7,20.7,163.1,46,5.1,7601,4.7,0.1,288,3,1,0,0
2963,29,0,3,11.7,5.3,159.1,19,3.9,2053,2.1,2.5,1161,1,0,0,0
2964,48,9,3,6.4,48.7,198.8,147,4.7,193,6.2,4.2,1055,3,0,0,0
2965,16,0,5,7.0,37.8,180.1,27,4.4,2635,6.5,0.1,1489,2,1,0,0
2966,34,8,9,8.4,10.8,152.1,96,4.7,6602,7.2,4.2,1090,4,0,0,0
2967,21,3,4,5.0,9.8,264.6,27,5.5,9222,1.6,4.1,1268,1,0,0,0
2968,50,2,9,7.0,32.5,262.3,157,2.8,6576,4.2,2.7,570,2,0,1,0
2969,23,5,6,11.4,31.2,229.0,167,3.1,8019,7.0,1.1,1360,1,0,0,0
2970,17,0,9,2.7,46.5,114.3,91,5.2,7500,3.8,2.8,1952,1,0,0,0
2971,23,0,7,3.2,33.7,17.4,177,5.5,4975,3.4,0.5,748,3,1,0,0
2972,25,2,7,3.2,2.5,265.5,184,5.8,7675,3.6,4.3,1379,4,0,0,0
2973,37,9,2,9.4,6.7,238.9,65,3.2,1410,3.9,2.7,876,2,0,0,0
2974,28,5,8,2.1,41.2,293.6,58,3.9,6549,1.8,1.6,1300,2,0,1,0
2975,32,7,0,1.3,37.9,150.9,43,5.2,8582,0.9,3.0,1703,3,0,0,1
2976,36,8,9,1.9,7.4,41.4,80,5.2,1638,5.5,4.2,701,4,1,0,0
2977,29,5,9,3.6,40.8,247.3,109,1.8,717,6.5,3.4,994,2,0,0,0
2978,29,3,6,1.3,9.2,22.6,187,2.6,4915,3.1,3.4,1544,2,1,0,0
2979,20,9,6,7.8,28.1,52.8,108,0.7,8326,7.1,2.1,768,0,0,1,0
2980,40,5,6,1.6,42.7,29.6,180,2.8,3094,4.1,1.2,430,4,0,0,0
2981,28,7,5,4.5,32.4,201.4,142,0.8,325,6.4,0.5,1431,2,0,1,0
2982,43,3,6,6.8,45.1,289.1,146,3.6,5221,6.3,0.7,1247,1,0,1,0
2983,59,3,4,11.2,28.2,278.2,56,1.4,850,0.8,2.1,1683,2,1,0,0
